Filename	StartTimeStamp	XIC-WideFrac	XIC-FWHM-Q1	XIC-FWHM-Q2	XIC-FWHM-Q3	XIC-Height-Q2	XIC-Height-Q3	XIC-Height-Q4	RT-Duration	RT-TIC-Q1	RT-TIC-Q2	RT-TIC-Q3	RT-TIC-Q4	RT-MS-Q1	RT-MS-Q2	RT-MS-Q3	RT-MS-Q4	RT-MSMS-Q1	RT-MSMS-Q2	RT-MSMS-Q3	RT-MSMS-Q4	MS1-TIC-Change-Q2	MS1-TIC-Change-Q3	MS1-TIC-Change-Q4	MS1-TIC-Q2	MS1-TIC-Q3	MS1-TIC-Q4	MS1-Count	MS1-Freq-Max	MS1-Density-Q1	MS1-Density-Q2	MS1-Density-Q3	MS2-Count	MS2-Freq-Max	MS2-Density-Q1	MS2-Density-Q2	MS2-Density-Q3	MS2-PrecZ-1	MS2-PrecZ-2	MS2-PrecZ-3	MS2-PrecZ-4	MS2-PrecZ-5	MS2-PrecZ-more	MS2-PrecZ-likely-1	MS2-PrecZ-likely-multi
"QC_Shew_11_02_pt5_d_26May11_Legolas_11-05-23.mzML"	2011-05-26T21:30:34Z	0.287576	14.7269	18.0524	23.0109	0.80338	0.52029	4.3809	2399.98	0.300735	0.156957	0.160704	0.381603	0.25002	0.239585	0.237779	0.272615	0.249506	0.239032	0.237235	0.274227	1.16683	0.867666	2.0944	0.95798	0.304814	0.738259	738	0.333778	1391	1509	1552	7365	3.3398	546	699	859	0	0	0	0	0	0	0.1074	0.8926
"QC_Shew_11_02_pt5_c_26May11_Legolas_11-05-23.mzML"	2011-05-26T20:26:02Z	0.286391	14.1253	17.2531	22.7827	0.725294	0.51082	4.26078	2400.1	0.290541	0.167275	0.169136	0.373048	0.249526	0.240163	0.237715	0.272595	0.248962	0.239683	0.237111	0.274244	1.3606	0.857624	1.90566	0.889151	0.271609	0.655073	740	0.334376	1400.75	1508	1546	7385	3.34586	555	704	861	0	0	0	0	0	0	0.0969533	0.903047
"QC_Shew_11_02_pt5_a_26May11_Legolas_11-05-23.mzML"	2011-05-26T18:17:00Z	0.28873	14.6754	17.9443	23.3114	0.909835	0.519505	4.19161	2402.51	0.292748	0.172187	0.170244	0.364822	0.250783	0.239298	0.237824	0.272096	0.250378	0.238986	0.237503	0.273133	1.08131	0.834864	1.84268	0.9573	0.252089	0.706741	740	0.333754	1385.75	1495.5	1538	7391	3.3395	554	705	863	0	0	0	0	0	0	0.121905	0.878095
"QC_Shew_11_02_pt5_b_26May11_Legolas_11-05-23.mzML"	2011-05-26T19:21:33Z	0.282958	15.5486	18.3428	23.6251	1.30015	0.551646	4.23818	2401.08	0.307311	0.147361	0.161186	0.384142	0.248891	0.240065	0.238157	0.272887	0.248577	0.239675	0.237784	0.273964	1.13855	0.909947	1.93989	0.987276	0.30412	0.783172	742	0.335361	1392.25	1513.5	1551	7411	3.35766	552	697	852	0	0	0	0	0	0	0.106598	0.893402
"QC_12_03_100ng_run03_15Feb13_Rogue_12-10-04.mzML"	2013-02-15T18:30:13Z	0.241001	26.7262	31.0038	37.9117	0.80702	0.589134	3.67584	5939.57	0.419509	0.174038	0.120394	0.286059	0.569305	0.35777	0.0364855	0.0364397	0.224068	0.232057	0.230965	0.31291	0.89579	6.15431	3.13436	0.320502	6.87374	2.14424	4048	4.91472	16	21	1395	13751	2.65655	193	359	517	0	0	0	0	0	0	0.155625	0.844375
"QC_12_03_100ng_run01_15Feb13_Rogue_12-10-04.mzML"	2013-02-15T14:14:13Z	0.209366	22.9827	27.4309	34.5756	1.11874	0.794171	3.57912	5939.62	0.478192	0.147707	0.108986	0.265116	0.578369	0.348258	0.0365958	0.0367769	0.227839	0.227209	0.227588	0.317364	0.982112	6.88129	3.54742	0.625323	7.85935	2.43914	4180	4.8963	3	5	1394	13560	2.64922	28	254	469	0	0	0	0	0	0	0.425516	0.574484
"QC_12_03_100ng_run05_15Feb13_Rogue_12-10-04.mzML"	2013-02-15T22:09:41Z	0.236706	28.4126	32.82	39.7916	0.418268	0.390472	2.87948	5939.61	0.358187	0.193672	0.142464	0.305677	0.514493	0.408796	0.0382948	0.0384156	0.230357	0.234252	0.231498	0.303893	0.995938	6.22872	2.69332	0.203739	6.62104	1.53591	3692	4.21345	41	50	1335	13878	2.65588	410	542	643	0	0	0	0	0	0	0.0536821	0.946318
"QC_12_03_100ng_run02_15Feb13_Rogue_12-10-04.mzML"	2013-02-15T16:40:28Z	0.227067	23.5397	27.7287	34.4399	1.01004	0.564362	2.56058	5939.59	0.428793	0.142172	0.122832	0.306203	0.552626	0.371627	0.0364761	0.0392715	0.237727	0.23043	0.219404	0.312438	0.951768	7.58235	3.39604	0.41023	8.26915	2.22127	4040	4.85478	9	14	1229	14335	2.82876	405	618	783	0	0	0	0	0	0	0.0942449	0.905755
"QC_12_03_1000ng_run09_15Feb13_Rogue_12-10-04.mzML"	2013-02-16T05:28:50Z	0.248111	25.161	29.2791	36.2285	1.24747	0.637072	4.13775	5939.63	0.53098	0.129464	0.121896	0.217661	0.293036	0.341416	0.28618	0.0793682	0.255216	0.231721	0.211581	0.301482	9.14659	2.11214	2.47461	10.6985	1.76959	1.16833	2389	2.74924	1	1266	1413	15352	3.15967	561.75	683	777	0	0	0	0	0	0	0.133468	0.866532
"QC_12_03_100ng_run07_15Feb13_Rogue_12-10-04.mzML"	2013-02-16T01:49:06Z	0.242168	26.1684	30.1477	37.02	0.498788	0.359337	2.09799	5939.68	0.372209	0.174879	0.140803	0.312109	0.494252	0.426201	0.0400156	0.0395312	0.236338	0.232643	0.228091	0.302928	1.01702	6.43346	2.65601	0.201681	6.89146	1.35475	3616	4.05741	51	62	1278.25	14205	2.67843	496	655	771	0	0	0	0	0	0	0.019641	0.980359
"QC_12_03_100ng_run04_15Feb13_Rogue_12-10-04.mzML"	2013-02-15T20:19:55Z	0.238252	24.9799	29.3349	36.2898	1.18599	0.486215	1.75423	5939.95	0.454671	0.122165	0.123989	0.299176	0.529154	0.393475	0.0394669	0.0379043	0.241493	0.23248	0.21769	0.308337	0.931091	6.89515	3.19364	0.232363	7.19977	2.20432	3897	4.71645	33	40	1263	14556	2.90064	430	697	853	0	0	0	0	0	0	0.0305029	0.969497
"QC_12_03_100ng_run06_15Feb13_Rogue_12-10-04.mzML"	2013-02-15T23:59:24Z	0.24137	25.2722	29.3054	35.8847	1.35512	0.566704	1.62323	5939.81	0.465045	0.122512	0.117012	0.295432	0.505236	0.414617	0.0406184	0.0395289	0.243897	0.234162	0.218674	0.303267	1.00004	6.73064	3.09503	0.208664	7.05476	2.07053	3735	4.19023	44	53	1262.5	14687	2.89072	436.5	714	866	0	0	0	0	0	0	0.0214475	0.978552
"QC_12_03_1000ng_run11_15Feb13_Rogue_12-10-04.mzML"	2013-02-16T09:08:52Z	0.241761	23.2874	27.0123	33.6211	0.534776	0.437757	2.11911	5939.52	0.456688	0.151427	0.119297	0.272588	0.433251	0.476233	0.0480929	0.0424224	0.252179	0.230636	0.22442	0.292765	1.74969	10.315	2.49717	1.36408	11.8906	1.32226	3695	3.912	1	5	1325	16719	3.28141	584	711	814	0	0	0	0	0	0	0.081524	0.918476
"QC_12_03_1000ng_run10_15Feb13_Rogue_12-10-04.mzML"	2013-02-16T07:18:51Z	0.239366	22.638	26.5979	32.8021	1.9327	0.551448	2.8274	5939.72	0.463743	0.104608	0.108402	0.323247	0.516316	0.403557	0.0393188	0.0408084	0.267474	0.216305	0.209621	0.3066	1.01816	9.49162	3.21716	0.682397	10.8447	1.91993	4144	4.66301	4	8	1352	16222	3.30999	458	659	807	0	0	0	0	0	0	0.165763	0.834237
"QC_12_03_1000ng_run16_15Feb13_Rogue_12-10-04.mzML"	2013-02-16T18:18:52Z	0.251723	22.1618	25.7897	31.5726	1.40221	0.588999	3.04879	5943.34	0.440339	0.115776	0.112843	0.331042	0.218178	0.255795	0.247113	0.278915	0.279212	0.232387	0.227897	0.260504	2.26207	1.31831	1.46975	2.92672	0.850512	0.658315	1959	2.76117	1282.5	1413	1475	17992	3.36358	585	733	872	0	0	0	0	0	0	0.0994887	0.900511
"QC_12_03_1000ng_run12_15Feb13_Rogue_12-10-04.mzML"	2013-02-16T10:58:51Z	0.24578	22.4009	25.9838	32.5966	1.39154	0.554692	2.96416	5939.73	0.44435	0.105102	0.11583	0.334718	0.545632	0.377279	0.0385126	0.0385764	0.262659	0.214754	0.210609	0.311979	0.915485	9.62653	3.57856	0.417948	10.8843	1.97291	4447	4.98167	9	13	1363	16470	3.33802	537	701	838	0	0	0	0	0	0	0.0860352	0.913965
"QC_12_03_1000ng_run14_15Feb13_Rogue_12-10-04.mzML"	2013-02-16T14:38:52Z	0.254596	21.2291	24.5496	30.358	0.945718	0.523429	2.94447	5939.59	0.438622	0.108532	0.114956	0.337891	0.536756	0.385489	0.0388542	0.0389013	0.261464	0.216014	0.211537	0.310986	0.985085	10.0142	3.18803	0.630004	11.3181	1.9823	4399	4.88257	4	8	1364	16591	3.36307	585	725	861	0	0	0	0	0	0	0.0567175	0.943283
"QC_12_03_1000ng_run13_15Feb13_Rogue_12-10-04.mzML"	2013-02-16T12:48:52Z	0.238266	22.7604	26.2868	32.3022	0.935912	0.520996	1.83711	5939.46	0.511081	0.122995	0.103206	0.262717	0.462163	0.450747	0.0429662	0.0441231	0.257992	0.228214	0.21919	0.294604	1.1481	9.18809	2.8207	0.480324	10.1433	1.61539	3832	4.04767	19	29	1367	16981	3.31659	591	726	837	0	0	0	0	0	0	0.0575938	0.942406
"QC_12_03_1000ng_run15_15Feb13_Rogue_12-10-04.mzML"	2013-02-16T16:28:51Z	0.236557	22.7637	26.522	32.3057	1.44181	0.603841	3.13341	5940.23	0.517716	0.117156	0.107654	0.257474	0.388253	0.405444	0.1533	0.0530029	0.272652	0.229759	0.219809	0.27778	6.27669	3.99706	2.32415	5.91832	4.40489	1.1948	3165	2.73027	44	1038	1432	17146	3.33671	585	737	862	0	0	0	0	0	0	0.0502158	0.949784
"QC_Shew_12_01_A_Jaguar_15Jul12_12-02-26.mzML"	2012-07-15T15:02:24Z	0.306776	20.1783	22.9249	27.6667	0.897217	0.716848	3.38664	5941	0.282577	0.124008	0.134396	0.459019	0.253364	0.248728	0.246985	0.250924	0.253246	0.248673	0.246914	0.251167	1.34256	0.900994	2.21759	0.723083	0.567464	0.648172	2497	0.432717	1289	1384	1427	24927	4.2894	290	372	483	0	0	0	0	0	0	0.0548803	0.94512
"QC_Shew_12_01_A_SAMWISE_30Jun12_12-04-21.mzML"	2012-06-30T06:30:34Z	0.279708	24.7437	28.3065	34.3023	0.872823	0.693395	2.45956	5940.07	0.257834	0.108642	0.139445	0.494079	0.245194	0.239611	0.237528	0.277667	0.245146	0.239593	0.237502	0.277758	1.68627	0.877725	1.52267	1.37659	0.703451	0.381384	2395	0.427367	1086	1205	1256.5	23950	4.28221	221	279	367	0	0	0	0	0	0	0.0820877	0.917912
"QC_Shew_12_01_B_SAMWISE_30Jun12_12-04-21.mzML"	2012-06-30T08:40:56Z	0.285083	24.4471	27.7604	33.301	0.761469	0.685431	2.69865	5940.56	0.257819	0.11062	0.142569	0.488992	0.244085	0.240031	0.237974	0.27791	0.244055	0.239999	0.237938	0.278008	1.59671	0.83568	1.98907	1.25536	0.695339	0.375627	2400	0.428079	1069	1198	1253	24000	4.29	223	281	364	0	0	0	0	0	0	0.091625	0.908375
"QC_Shew_12_01_C_SAMWISE_30Jun12_12-04-21.mzML"	2012-06-30T11:10:50Z	0.282583	24.9697	28.2286	33.7761	0.816153	0.672537	2.68038	5939.9	0.257309	0.113838	0.14378	0.485072	0.243975	0.240083	0.238036	0.277906	0.243942	0.24005	0.237996	0.278012	1.52462	0.901711	1.81664	1.18923	0.632483	0.407416	2400	0.427367	1079	1194	1250	24000	4.28235	226	283	364	0	0	0	0	0	0	0.0934167	0.906583
"QC_Shew_12_01_B_Jaguar_15Jul12_12-02-27.mzML"	2012-07-15T17:47:53Z	0.306003	18.962	21.3882	26.1906	0.857347	0.722552	3.05005	5940.62	0.296045	0.116269	0.131205	0.456482	0.255938	0.248101	0.245889	0.250072	0.25585	0.248001	0.245975	0.250174	1.33531	0.886125	1.93823	0.753447	0.718418	0.638244	2488	0.428402	1263	1346	1406	24869	4.29395	302	387	497	0	0	0	0	0	0	0.0472878	0.952712
"QC_Shew_12_02_050nl-min_Run-1_20Dec12_Lion_12-11-11.mzML"	2012-12-22T01:41:06Z	0.232121	26.6537	31.0835	38.8228	2.96282	1.26545	2.6684	5942.37	0.00499134	0.0967643	0.14016	0.758085	0.159293	0.279106	0.299244	0.262357	0.215164	0.279001	0.278818	0.227017	1.44298	1.47709	2.68227	2.52215	1.55137	0.56599	1874	2.98802	1217.25	1456.5	1546	16444	3.28671	127	556	716	0	0	0	0	0	0	0.0493189	0.950681
