Filename	StartTimeStamp	XIC-WideFrac	XIC-FWHM-Q1	XIC-FWHM-Q2	XIC-FWHM-Q3	XIC-Height-Q2	XIC-Height-Q3	XIC-Height-Q4	RT-Duration	RT-TIC-Q1	RT-TIC-Q2	RT-TIC-Q3	RT-TIC-Q4	RT-MS-Q1	RT-MS-Q2	RT-MS-Q3	RT-MS-Q4	RT-MSMS-Q1	RT-MSMS-Q2	RT-MSMS-Q3	RT-MSMS-Q4	MS1-TIC-Change-Q2	MS1-TIC-Change-Q3	MS1-TIC-Change-Q4	MS1-TIC-Q2	MS1-TIC-Q3	MS1-TIC-Q4	MS1-Count	MS1-Freq-Max	MS1-Density-Q1	MS1-Density-Q2	MS1-Density-Q3	MS2-Count	MS2-Freq-Max	MS2-Density-Q1	MS2-Density-Q2	MS2-Density-Q3	MS2-PrecZ-1	MS2-PrecZ-2	MS2-PrecZ-3	MS2-PrecZ-4	MS2-PrecZ-5	MS2-PrecZ-more	MS2-PrecZ-likely-1	MS2-PrecZ-likely-multi
"QC_ShewAndreySyncCh2.mzML"	2012-12-05T15:40:01Z	0.326255	26.4754	30.2993	38.2057	0.556688	0.789207	6.3014	5998.9	0.19935	0.225328	0.347771	0.227551	0.193615	0.264701	0.273477	0.268207	0.302488	0.231842	0.232486	0.233184	1.33831	0.819787	2.42309	0.264393	0.548132	1.39584	1671	0.47471	3880.5	4780	6014	7111	1.4288	771.5	928	1106	0	0	0	0	0	0	0.0638447	0.936155
"QC_Shew_021313_3.mzML"	2013-02-13T15:48:56Z	0.25823	16.3667	19.4137	25.636	1.89181	2.20026	5.47377	7199.59	0.385293	0.0483416	0.0721496	0.494215	0.264295	0.210474	0.243994	0.281237	0.277803	0.206747	0.242459	0.272991	2.21256	1.96895	4.89117	2.37101	2.66038	1.09964	2970	0.524931	765.5	1809.5	2690.75	17163	3.07989	124	279	476	0.075453	0.140593	0.137097	0.049933	0.0129348	0.00396201	0.143972	0.436054
"QC_Shew_100ng_r4_29Mar13_Rogue_12-10-03.mzML"	2013-03-30T18:32:20Z	0.345811	23.7499	26.3309	31.4195	0.774364	0.992536	4.20494	7740.31	0.27142	0.236818	0.136603	0.35516	0.240113	0.246913	0.250245	0.262729	0.240021	0.246959	0.250274	0.262746	0.964834	0.764677	2.06691	0.450903	0.363498	1.04733	3139	0.455579	1780	2035	2393	18834	2.74921	159	280	481	0.134066	0.29399	0.180684	0.05283	0.00849527	0.00191144	0.0477859	0.280238
"QC_Shew_100ng_r2_29Mar13_Rogue_12-10-03.mzML"	2013-03-30T07:39:57Z	0.343825	23.7686	26.6641	31.9477	0.767495	1.01326	4.65807	7741.67	0.242843	0.157969	0.193055	0.406133	0.238674	0.240802	0.254901	0.265623	0.238629	0.240809	0.25492	0.265643	1.00174	0.854431	2.43772	0.5252	0.249726	1.04587	3177	0.457439	1804	2067	2394	19062	2.7639	156	278	473	0.121393	0.293568	0.181093	0.0518309	0.00891827	0.00194103	0.0512538	0.290001
"QC_Shew_100ng_r1_29Mar13_Rogue_12-10-03_130329172023.mzML"	2013-03-29T16:20:23Z	0.344369	22.8754	25.5223	30.639	0.737432	0.992075	4.75081	7741.96	0.237346	0.155204	0.210475	0.396976	0.238951	0.242612	0.257783	0.260654	0.238848	0.242647	0.257807	0.260699	0.94344	0.80562	2.30238	0.504626	0.296446	1.13361	3207	0.462561	1800.5	2047	2403.5	19241	2.78136	157	286	497	0.136947	0.29302	0.180968	0.0511928	0.0110181	0.0039499	0.0426173	0.280287
"QC_Shew_100ng_r3_29Mar13_Rogue_12-10-03.mzML"	2013-03-30T13:06:06Z	0.349064	23.6571	26.3069	31.4036	0.756236	1.01858	4.49369	7740.25	0.249275	0.167943	0.189407	0.393374	0.239736	0.2409	0.252722	0.266642	0.239684	0.240888	0.252745	0.266683	1.0346	0.748578	2.57586	0.526629	0.236974	0.984396	3189	0.457226	1820	2082	2407	19134	2.76627	159	294	506	0.120048	0.28938	0.182555	0.0549807	0.00909376	0.00261315	0.0487614	0.292568
"QC_Shew_100ng_r1_29Mar13_Rogue_12-10-04.mzML"	2013-03-29T19:12:35Z	0.324307	24.334	27.459	33.3058	0.795108	1.05751	4.28302	7739.71	0.388753	0.193225	0.170574	0.247448	0.256546	0.242698	0.245216	0.25554	0.256497	0.242705	0.245233	0.255565	1.04047	0.890346	2.58978	0.635319	0.453537	1.11113	3176	0.461345	1859.75	2235	2466	19056	2.77619	161	287	509	0.127571	0.293031	0.161839	0.0460223	0.0114924	0.0112825	0.0336377	0.315124
"QC_Shew_100ng_r4_29Mar13_Rogue_12-10-04.mzML"	2013-03-30T21:15:23Z	0.341147	22.1684	24.6324	29.049	0.79417	0.98556	4.22419	7740.15	0.281372	0.185833	0.150842	0.381952	0.24528	0.240679	0.251951	0.26209	0.245221	0.240704	0.251976	0.262099	1.03659	0.79087	2.65542	0.49326	0.374863	1.50958	3178	0.491902	1868.25	2195	2591	19068	2.97416	156	291	517	0.146528	0.278634	0.1824	0.0518146	0.0089679	0.00304175	0.0494021	0.279211
"QC_Shew_100ng_r3_29Mar13_Rogue_12-10-04.mzML"	2013-03-30T15:49:12Z	0.345336	22.4503	24.9707	29.5024	0.78938	0.986599	4.0187	7742.01	0.277077	0.183768	0.141287	0.397869	0.243569	0.240372	0.253054	0.263005	0.24351	0.240395	0.253099	0.262996	1.00448	0.752707	2.15299	0.485297	0.368947	1.56971	3166	0.498574	1877.25	2212.5	2629	18996	2.99072	157	283	501	0.139503	0.278269	0.180512	0.0491682	0.00805433	0.00363234	0.0502737	0.290587
"QC_Shew_100ng_r2_29Mar13_Rogue_12-10-04.mzML"	2013-03-30T10:23:03Z	0.342086	22.2917	24.8557	29.5779	0.779224	1.02616	4.31119	7739.68	0.242411	0.198889	0.141859	0.416841	0.241585	0.241195	0.254647	0.262573	0.241525	0.241204	0.254688	0.262583	0.938561	0.777173	2.85945	0.485429	0.334667	1.8896	3142	0.503239	1929	2265.5	2684.75	18852	3.0391	157	286	488.25	0.139614	0.285328	0.179769	0.0469977	0.00832803	0.00546361	0.0484829	0.286017
